id;placed_date;status;code;customer_id
1;2020-11-12T13:50:01;COMPLETED;Georgia calculate withdrawal;1
2;2020-11-12T00:46:31;COMPLETED;compress Steel out-of-the-box;2
3;2020-11-12T02:17:43;PENDING;Concrete;3
4;2020-11-12T15:43:38;CANCELLED;Investment Account;4
5;2020-11-12T03:00:28;PENDING;United States of America;5
6;2020-11-12T17:12:32;CANCELLED;IB Industrial Credit Card Account;6
7;2020-11-12T20:18:57;CANCELLED;Cotton Egyptian Pound;7
8;2020-11-12T05:15:01;COMPLETED;Home Loan Account;8
9;2020-11-12T14:09:17;COMPLETED;Human;9
10;2020-11-12T00:17:55;CANCELLED;payment;10
